"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Create file","LMS service","Tue Jul 14 11:26:56 UTC 2026","passed","Tue Jul 14 11:26:56 UTC 2026","Create entity","Files","",""
"","23","Get exercises","LMS service","Tue Jul 14 11:26:56 UTC 2026","passed","Tue Jul 14 11:26:56 UTC 2026","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Tue Jul 14 11:26:53 UTC 2026","passed","Tue Jul 14 11:26:53 UTC 2026","Update entity","Exercises","",""
"","562","Create user","LMS service","Tue Jul 14 11:26:59 UTC 2026","passed","Tue Jul 14 11:27:00 UTC 2026","Create entity","Users","",""
"","529","Create user","LMS service","Tue Jul 14 11:26:59 UTC 2026","passed","Tue Jul 14 11:26:59 UTC 2026","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","Tue Jul 14 11:26:59 UTC 2026","passed","Tue Jul 14 11:26:59 UTC 2026","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Tue Jul 14 11:26:57 UTC 2026","passed","Tue Jul 14 11:26:57 UTC 2026","Validate entity","Files","",""
"","23","Delete file","LMS service","Tue Jul 14 11:26:58 UTC 2026","passed","Tue Jul 14 11:26:58 UTC 2026","Delete entity","Files","",""
"","26","Create course","LMS service","Tue Jul 14 11:26:52 UTC 2026","passed","Tue Jul 14 11:26:52 UTC 2026","Create entity","Courses","",""
"","521","Create user","LMS service","Tue Jul 14 11:26:58 UTC 2026","passed","Tue Jul 14 11:26:59 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Tue Jul 14 11:26:58 UTC 2026","passed","Tue Jul 14 11:26:58 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Jul 14 11:27:00 UTC 2026","passed","Tue Jul 14 11:27:00 UTC 2026","Get entity","Users","",""
"","16","Get file","LMS service","Tue Jul 14 11:26:57 UTC 2026","passed","Tue Jul 14 11:26:57 UTC 2026","Get entity","Files","",""
"","23","Create exercise","LMS service","Tue Jul 14 11:26:53 UTC 2026","passed","Tue Jul 14 11:26:53 UTC 2026","Create entity","Exercises","",""
"","20","Get exercise","LMS service","Tue Jul 14 11:26:55 UTC 2026","passed","Tue Jul 14 11:26:55 UTC 2026","Get entity","Exercises","",""
"","303","Update course","LMS service","Tue Jul 14 11:26:51 UTC 2026","passed","Tue Jul 14 11:26:51 UTC 2026","Update entity","Courses","",""
"","552","Login with correct email and password","LMS service","Tue Jul 14 11:26:50 UTC 2026","passed","Tue Jul 14 11:26:51 UTC 2026","Login","Authentication","",""
"","302","Get courses","LMS service","Tue Jul 14 11:26:52 UTC 2026","passed","Tue Jul 14 11:26:52 UTC 2026","Get entities","Courses","",""
"","19","Delete exercise","LMS service","Tue Jul 14 11:26:55 UTC 2026","passed","Tue Jul 14 11:26:55 UTC 2026","Delete entity","Exercises","",""
