"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get exercise","LMS service","Wed Jul 15 08:24:21 UTC 2026","passed","Wed Jul 15 08:24:21 UTC 2026","Get entity","Exercises","",""
"","270","Get file with incorrect file id","LMS service","Wed Jul 15 08:24:25 UTC 2026","passed","Wed Jul 15 08:24:25 UTC 2026","Validate entity","Files","",""
"","543","Create user","LMS service","Wed Jul 15 08:24:25 UTC 2026","passed","Wed Jul 15 08:24:25 UTC 2026","Create entity","Users","",""
"","32","Create course","LMS service","Wed Jul 15 08:24:19 UTC 2026","passed","Wed Jul 15 08:24:19 UTC 2026","Create entity","Courses","",""
"","292","Delete file","LMS service","Wed Jul 15 08:24:25 UTC 2026","passed","Wed Jul 15 08:24:25 UTC 2026","Delete entity","Files","",""
"","25","Update exercise","LMS service","Wed Jul 15 08:24:20 UTC 2026","passed","Wed Jul 15 08:24:20 UTC 2026","Update entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Wed Jul 15 08:24:23 UTC 2026","passed","Wed Jul 15 08:24:23 UTC 2026","Validate entity","Files","",""
"","301","Get courses","LMS service","Wed Jul 15 08:24:18 UTC 2026","passed","Wed Jul 15 08:24:19 UTC 2026","Get entities","Courses","",""
"","303","Update course","LMS service","Wed Jul 15 08:24:17 UTC 2026","passed","Wed Jul 15 08:24:18 UTC 2026","Update entity","Courses","",""
"","13","Get user me","LMS service","Wed Jul 15 08:24:27 UTC 2026","passed","Wed Jul 15 08:24:27 UTC 2026","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Wed Jul 15 08:24:17 UTC 2026","passed","Wed Jul 15 08:24:17 UTC 2026","Login","Authentication","",""
"","32","Create file","LMS service","Wed Jul 15 08:24:22 UTC 2026","passed","Wed Jul 15 08:24:22 UTC 2026","Create entity","Files","",""
"","561","Create user","LMS service","Wed Jul 15 08:24:25 UTC 2026","passed","Wed Jul 15 08:24:26 UTC 2026","Create entity","Users","",""
"","559","Create user","LMS service","Wed Jul 15 08:24:26 UTC 2026","passed","Wed Jul 15 08:24:26 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Wed Jul 15 08:24:21 UTC 2026","passed","Wed Jul 15 08:24:21 UTC 2026","Delete entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Wed Jul 15 08:24:24 UTC 2026","passed","Wed Jul 15 08:24:25 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Wed Jul 15 08:24:20 UTC 2026","passed","Wed Jul 15 08:24:20 UTC 2026","Create entity","Exercises","",""
"","16","Get file","LMS service","Wed Jul 15 08:24:23 UTC 2026","passed","Wed Jul 15 08:24:23 UTC 2026","Get entity","Files","",""
"","21","Get exercises","LMS service","Wed Jul 15 08:24:22 UTC 2026","passed","Wed Jul 15 08:24:22 UTC 2026","Get entities","Exercises","",""
