"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","Create user","LMS service","Fri Jul 10 13:47:41 UTC 2026","passed","Fri Jul 10 13:47:42 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Fri Jul 10 13:47:41 UTC 2026","passed","Fri Jul 10 13:47:41 UTC 2026","Create entity","Users","",""
"","19","Get exercises","LMS service","Fri Jul 10 13:47:38 UTC 2026","passed","Fri Jul 10 13:47:38 UTC 2026","Get entities","Exercises","",""
"","30","Delete file","LMS service","Fri Jul 10 13:47:41 UTC 2026","passed","Fri Jul 10 13:47:41 UTC 2026","Delete entity","Files","",""
"","16","Get user me","LMS service","Fri Jul 10 13:47:43 UTC 2026","passed","Fri Jul 10 13:47:43 UTC 2026","Get entity","Users","",""
"","32","Create file with empty directory","LMS service","Fri Jul 10 13:47:40 UTC 2026","passed","Fri Jul 10 13:47:40 UTC 2026","Validate entity","Files","",""
"","308","Update course","LMS service","Fri Jul 10 13:47:33 UTC 2026","passed","Fri Jul 10 13:47:34 UTC 2026","Update entity","Courses","",""
"","16","Get exercise","LMS service","Fri Jul 10 13:47:36 UTC 2026","passed","Fri Jul 10 13:47:36 UTC 2026","Get entity","Exercises","",""
"","21","Get file with incorrect file id","LMS service","Fri Jul 10 13:47:41 UTC 2026","passed","Fri Jul 10 13:47:41 UTC 2026","Validate entity","Files","",""
"","534","Create user","LMS service","Fri Jul 10 13:47:42 UTC 2026","passed","Fri Jul 10 13:47:42 UTC 2026","Create entity","Users","",""
"","268","Create file with empty filename","LMS service","Fri Jul 10 13:47:40 UTC 2026","passed","Fri Jul 10 13:47:40 UTC 2026","Validate entity","Files","",""
"","16","Get file","LMS service","Fri Jul 10 13:47:39 UTC 2026","passed","Fri Jul 10 13:47:39 UTC 2026","Get entity","Files","",""
"","24","Create exercise","LMS service","Fri Jul 10 13:47:35 UTC 2026","passed","Fri Jul 10 13:47:35 UTC 2026","Create entity","Exercises","",""
"","39","Delete exercise","LMS service","Fri Jul 10 13:47:38 UTC 2026","passed","Fri Jul 10 13:47:38 UTC 2026","Delete entity","Exercises","",""
"","271","Create file","LMS service","Fri Jul 10 13:47:39 UTC 2026","passed","Fri Jul 10 13:47:39 UTC 2026","Create entity","Files","",""
"","305","Get courses","LMS service","Fri Jul 10 13:47:34 UTC 2026","passed","Fri Jul 10 13:47:34 UTC 2026","Get entities","Courses","",""
"","28","Update exercise","LMS service","Fri Jul 10 13:47:36 UTC 2026","passed","Fri Jul 10 13:47:36 UTC 2026","Update entity","Exercises","",""
"","32","Create course","LMS service","Fri Jul 10 13:47:35 UTC 2026","passed","Fri Jul 10 13:47:35 UTC 2026","Create entity","Courses","",""
"","287","Login with correct email and password","LMS service","Fri Jul 10 13:47:32 UTC 2026","passed","Fri Jul 10 13:47:33 UTC 2026","Login","Authentication","",""
