"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Fri Jul 10 13:14:08 UTC 2026","passed","Fri Jul 10 13:14:08 UTC 2026","Get entity","Users","",""
"","27","Create exercise","LMS service","Fri Jul 10 13:14:02 UTC 2026","passed","Fri Jul 10 13:14:02 UTC 2026","Create entity","Exercises","",""
"","24","Delete file","LMS service","Fri Jul 10 13:14:06 UTC 2026","passed","Fri Jul 10 13:14:06 UTC 2026","Delete entity","Files","",""
"","269","Create file with empty filename","LMS service","Fri Jul 10 13:14:05 UTC 2026","passed","Fri Jul 10 13:14:05 UTC 2026","Validate entity","Files","",""
"","20","Get exercise","LMS service","Fri Jul 10 13:14:03 UTC 2026","passed","Fri Jul 10 13:14:03 UTC 2026","Get entity","Exercises","",""
"","554","Login with correct email and password","LMS service","Fri Jul 10 13:13:59 UTC 2026","passed","Fri Jul 10 13:13:59 UTC 2026","Login","Authentication","",""
"","562","Create user","LMS service","Fri Jul 10 13:14:08 UTC 2026","passed","Fri Jul 10 13:14:08 UTC 2026","Create entity","Users","",""
"","514","Create user","LMS service","Fri Jul 10 13:14:06 UTC 2026","passed","Fri Jul 10 13:14:07 UTC 2026","Create entity","Users","",""
"","272","Get file with incorrect file id","LMS service","Fri Jul 10 13:14:07 UTC 2026","passed","Fri Jul 10 13:14:08 UTC 2026","Validate entity","Files","",""
"","303","Get courses","LMS service","Fri Jul 10 13:14:00 UTC 2026","passed","Fri Jul 10 13:14:00 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Fri Jul 10 13:14:02 UTC 2026","passed","Fri Jul 10 13:14:02 UTC 2026","Update entity","Exercises","",""
"","35","Create file","LMS service","Fri Jul 10 13:14:04 UTC 2026","passed","Fri Jul 10 13:14:04 UTC 2026","Create entity","Files","",""
"","29","Create course","LMS service","Fri Jul 10 13:14:00 UTC 2026","passed","Fri Jul 10 13:14:00 UTC 2026","Create entity","Courses","",""
"","16","Get file","LMS service","Fri Jul 10 13:14:05 UTC 2026","passed","Fri Jul 10 13:14:05 UTC 2026","Get entity","Files","",""
"","32","Update course","LMS service","Fri Jul 10 13:13:59 UTC 2026","passed","Fri Jul 10 13:14:00 UTC 2026","Update entity","Courses","",""
"","21","Delete exercise","LMS service","Fri Jul 10 13:14:03 UTC 2026","passed","Fri Jul 10 13:14:03 UTC 2026","Delete entity","Exercises","",""
"","533","Create user","LMS service","Fri Jul 10 13:14:07 UTC 2026","passed","Fri Jul 10 13:14:08 UTC 2026","Create entity","Users","",""
"","273","Create file with empty directory","LMS service","Fri Jul 10 13:14:06 UTC 2026","passed","Fri Jul 10 13:14:06 UTC 2026","Validate entity","Files","",""
"","22","Get exercises","LMS service","Fri Jul 10 13:14:04 UTC 2026","passed","Fri Jul 10 13:14:04 UTC 2026","Get entities","Exercises","",""
